Day ,Items ,Note ,Amount 
86,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 15069 ,-6000
86,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 15069 ,-7000
86,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 15069 ,-8080
86,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 15069 ,-10000
86,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 15069 ,-8000
80,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 14133 ,-31104
77,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 13409 ,-23760
77,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 13409 ,-36960
77,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 13409 ,-63360
77,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 13409 ,-79200
77,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 13409 ,-63360
69,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 12046 ,-40656
69,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 12046 ,-96096
69,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 12046 ,-80640
69,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 12046 ,-100800
69,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 12046 ,-80640
68,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 11671 ,-24240
68,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 11671 ,-30300
68,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 11671 ,-24240
66,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 11328 ,-17808
66,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 11328 ,-38976
66,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 11328 ,-32256
66,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 11328 ,-47376
66,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 11328 ,-36288
61,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 10241 ,-15840
61,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 10241 ,-48960
61,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 10241 ,-30240
61,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 10241 ,-52272
61,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 10241 ,-59580
55,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 9330 ,-15840
55,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 9330 ,-38720
55,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 9330 ,-34637
55,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 9330 ,-48365
55,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 9330 ,-33053
46,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 7312 ,-34080
46,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 7312 ,-79520
46,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 7312 ,-68160
46,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 7312 ,-85200
46,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 7312 ,-68160
43,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 6923 ,-28968
41,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 6511 ,-30600
41,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 6511 ,-95200
41,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 6511 ,-81600
41,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 6511 ,-102000
41,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 6511 ,-54400
32,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 4527 ,-51060
32,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 4527 ,-45485
32,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 4527 ,-56304
32,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 4527 ,-45043
13,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 1457 ,-76800
11,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 508 ,-87040
11,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 508 ,-154560
11,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 508 ,-134400
11,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 508 ,-168000
11,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 508 ,-134400
4,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 326 ,-120000
4,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 326 ,-168000
4,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 326 ,-240000
4,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 326 ,-300000
4,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 326 ,-240000
90,Rental Expense,Cash Payment - Rental - Detroit,-1200
90,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
90,Rental Expense,Cash Payment - Rental - New York,-2680
90,Rental Expense,Cash Payment - Rental - Miami,-1120
90,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
90,Rental Expense,Cash Payment - Rental - San Francisco,-2240
89,Rental Expense,Cash Payment - Rental - Detroit,-1200
89,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
89,Rental Expense,Cash Payment - Rental - New York,-2680
89,Rental Expense,Cash Payment - Rental - Miami,-1120
89,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
89,Rental Expense,Cash Payment - Rental - San Francisco,-2240
88,Rental Expense,Cash Payment - Rental - Detroit,-1200
88,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
88,Rental Expense,Cash Payment - Rental - New York,-2680
88,Rental Expense,Cash Payment - Rental - Miami,-1120
88,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
88,Rental Expense,Cash Payment - Rental - San Francisco,-2240
87,Rental Expense,Cash Payment - Rental - Detroit,-1200
87,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
87,Rental Expense,Cash Payment - Rental - New York,-2680
87,Rental Expense,Cash Payment - Rental - Miami,-1120
87,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
87,Rental Expense,Cash Payment - Rental - San Francisco,-2240
86,Rental Expense,Cash Payment - Rental - Detroit,-1200
86,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
86,Rental Expense,Cash Payment - Rental - New York,-2680
86,Rental Expense,Cash Payment - Rental - Miami,-1120
86,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
86,Rental Expense,Cash Payment - Rental - San Francisco,-2240
85,Rental Expense,Cash Payment - Rental - Detroit,-1200
85,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
85,Rental Expense,Cash Payment - Rental - New York,-2680
85,Rental Expense,Cash Payment - Rental - Miami,-1120
85,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
85,Rental Expense,Cash Payment - Rental - San Francisco,-2240
84,Rental Expense,Cash Payment - Rental - Detroit,-1200
84,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
84,Rental Expense,Cash Payment - Rental - New York,-2680
84,Rental Expense,Cash Payment - Rental - Miami,-1120
84,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
84,Rental Expense,Cash Payment - Rental - San Francisco,-2240
83,Rental Expense,Cash Payment - Rental - Detroit,-1200
83,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
83,Rental Expense,Cash Payment - Rental - New York,-2680
83,Rental Expense,Cash Payment - Rental - Miami,-1120
83,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
83,Rental Expense,Cash Payment - Rental - San Francisco,-2240
82,Rental Expense,Cash Payment - Rental - Detroit,-1200
82,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
82,Rental Expense,Cash Payment - Rental - New York,-2680
82,Rental Expense,Cash Payment - Rental - Miami,-1120
82,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
82,Rental Expense,Cash Payment - Rental - San Francisco,-2240
81,Rental Expense,Cash Payment - Rental - Detroit,-1200
81,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
81,Rental Expense,Cash Payment - Rental - New York,-2680
81,Rental Expense,Cash Payment - Rental - Miami,-1120
81,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
81,Rental Expense,Cash Payment - Rental - San Francisco,-2240
80,Rental Expense,Cash Payment - Rental - Detroit,-1200
80,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
80,Rental Expense,Cash Payment - Rental - New York,-2680
80,Rental Expense,Cash Payment - Rental - Miami,-1120
80,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
80,Rental Expense,Cash Payment - Rental - San Francisco,-2240
79,Rental Expense,Cash Payment - Rental - Detroit,-1200
79,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
79,Rental Expense,Cash Payment - Rental - New York,-2680
79,Rental Expense,Cash Payment - Rental - Miami,-1120
79,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
79,Rental Expense,Cash Payment - Rental - San Francisco,-2240
78,Rental Expense,Cash Payment - Rental - Detroit,-1200
78,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
78,Rental Expense,Cash Payment - Rental - New York,-2680
78,Rental Expense,Cash Payment - Rental - Miami,-1120
78,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
78,Rental Expense,Cash Payment - Rental - San Francisco,-2240
77,Rental Expense,Cash Payment - Rental - Detroit,-1200
77,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
77,Rental Expense,Cash Payment - Rental - New York,-2680
77,Rental Expense,Cash Payment - Rental - Miami,-1120
77,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
77,Rental Expense,Cash Payment - Rental - San Francisco,-2240
76,Rental Expense,Cash Payment - Rental - Detroit,-1200
76,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
76,Rental Expense,Cash Payment - Rental - New York,-2680
76,Rental Expense,Cash Payment - Rental - Miami,-1120
76,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
76,Rental Expense,Cash Payment - Rental - San Francisco,-2240
75,Rental Expense,Cash Payment - Rental - Detroit,-1200
75,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
75,Rental Expense,Cash Payment - Rental - New York,-2680
75,Rental Expense,Cash Payment - Rental - Miami,-1120
75,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
75,Rental Expense,Cash Payment - Rental - San Francisco,-2240
74,Rental Expense,Cash Payment - Rental - Detroit,-1200
74,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
74,Rental Expense,Cash Payment - Rental - New York,-2680
74,Rental Expense,Cash Payment - Rental - Miami,-1120
74,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
74,Rental Expense,Cash Payment - Rental - San Francisco,-2240
73,Rental Expense,Cash Payment - Rental - Detroit,-1200
73,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
73,Rental Expense,Cash Payment - Rental - New York,-2680
73,Rental Expense,Cash Payment - Rental - Miami,-1120
73,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
73,Rental Expense,Cash Payment - Rental - San Francisco,-2240
72,Rental Expense,Cash Payment - Rental - Detroit,-1200
72,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
72,Rental Expense,Cash Payment - Rental - New York,-2680
72,Rental Expense,Cash Payment - Rental - Miami,-1120
72,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
72,Rental Expense,Cash Payment - Rental - San Francisco,-2240
71,Rental Expense,Cash Payment - Rental - Detroit,-1200
71,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
71,Rental Expense,Cash Payment - Rental - New York,-2680
71,Rental Expense,Cash Payment - Rental - Miami,-1120
71,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
71,Rental Expense,Cash Payment - Rental - San Francisco,-2240
70,Rental Expense,Cash Payment - Rental - Detroit,-1200
70,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
70,Rental Expense,Cash Payment - Rental - New York,-2680
70,Rental Expense,Cash Payment - Rental - Miami,-1120
70,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
70,Rental Expense,Cash Payment - Rental - San Francisco,-2240
69,Rental Expense,Cash Payment - Rental - Detroit,-1200
69,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
69,Rental Expense,Cash Payment - Rental - New York,-2680
69,Rental Expense,Cash Payment - Rental - Miami,-1120
69,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
69,Rental Expense,Cash Payment - Rental - San Francisco,-2240
68,Rental Expense,Cash Payment - Rental - Detroit,-1200
68,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
68,Rental Expense,Cash Payment - Rental - New York,-2680
68,Rental Expense,Cash Payment - Rental - Miami,-1120
68,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
68,Rental Expense,Cash Payment - Rental - San Francisco,-2240
67,Rental Expense,Cash Payment - Rental - Detroit,-1200
67,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
67,Rental Expense,Cash Payment - Rental - New York,-2680
67,Rental Expense,Cash Payment - Rental - Miami,-1120
67,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
67,Rental Expense,Cash Payment - Rental - San Francisco,-2240
66,Rental Expense,Cash Payment - Rental - Detroit,-1200
66,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
66,Rental Expense,Cash Payment - Rental - New York,-2680
66,Rental Expense,Cash Payment - Rental - Miami,-1120
66,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
66,Rental Expense,Cash Payment - Rental - San Francisco,-2240
65,Rental Expense,Cash Payment - Rental - Detroit,-1200
65,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
65,Rental Expense,Cash Payment - Rental - New York,-2680
65,Rental Expense,Cash Payment - Rental - Miami,-1120
65,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
65,Rental Expense,Cash Payment - Rental - San Francisco,-2240
64,Rental Expense,Cash Payment - Rental - Detroit,-1200
64,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
64,Rental Expense,Cash Payment - Rental - New York,-2680
64,Rental Expense,Cash Payment - Rental - Miami,-1120
64,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
64,Rental Expense,Cash Payment - Rental - San Francisco,-2240
63,Rental Expense,Cash Payment - Rental - Detroit,-1200
63,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
63,Rental Expense,Cash Payment - Rental - New York,-2680
63,Rental Expense,Cash Payment - Rental - Miami,-1120
63,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
63,Rental Expense,Cash Payment - Rental - San Francisco,-2240
62,Rental Expense,Cash Payment - Rental - Detroit,-1200
62,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
62,Rental Expense,Cash Payment - Rental - New York,-2680
62,Rental Expense,Cash Payment - Rental - Miami,-1120
62,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
62,Rental Expense,Cash Payment - Rental - San Francisco,-2240
61,Rental Expense,Cash Payment - Rental - Detroit,-1200
61,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
61,Rental Expense,Cash Payment - Rental - Chicago,-1600
61,Rental Expense,Cash Payment - Rental - New York,-2680
61,Rental Expense,Cash Payment - Rental - Miami,-1120
61,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
61,Rental Expense,Cash Payment - Rental - San Francisco,-2240
60,Rental Expense,Cash Payment - Rental - Detroit,-1200
60,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
60,Rental Expense,Cash Payment - Rental - Chicago,-1600
60,Rental Expense,Cash Payment - Rental - New York,-2680
60,Rental Expense,Cash Payment - Rental - Miami,-1120
60,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
60,Rental Expense,Cash Payment - Rental - San Francisco,-2240
59,Rental Expense,Cash Payment - Rental - Detroit,-1200
59,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
59,Rental Expense,Cash Payment - Rental - Chicago,-1600
59,Rental Expense,Cash Payment - Rental - New York,-2680
59,Rental Expense,Cash Payment - Rental - Miami,-1120
59,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
59,Rental Expense,Cash Payment - Rental - San Francisco,-2240
58,Rental Expense,Cash Payment - Rental - Detroit,-1200
58,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
58,Rental Expense,Cash Payment - Rental - Chicago,-1600
58,Rental Expense,Cash Payment - Rental - New York,-2680
58,Rental Expense,Cash Payment - Rental - Miami,-1120
58,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
58,Rental Expense,Cash Payment - Rental - San Francisco,-2240
57,Rental Expense,Cash Payment - Rental - Detroit,-1200
57,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
57,Rental Expense,Cash Payment - Rental - Chicago,-1600
57,Rental Expense,Cash Payment - Rental - New York,-2680
57,Rental Expense,Cash Payment - Rental - Miami,-1120
57,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
57,Rental Expense,Cash Payment - Rental - San Francisco,-2240
56,Rental Expense,Cash Payment - Rental - Detroit,-1200
56,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
56,Rental Expense,Cash Payment - Rental - Chicago,-1600
56,Rental Expense,Cash Payment - Rental - New York,-2680
56,Rental Expense,Cash Payment - Rental - Miami,-1120
56,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
56,Rental Expense,Cash Payment - Rental - San Francisco,-2240
55,Rental Expense,Cash Payment - Rental - Detroit,-1200
55,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
55,Rental Expense,Cash Payment - Rental - Chicago,-1600
55,Rental Expense,Cash Payment - Rental - New York,-2680
55,Rental Expense,Cash Payment - Rental - Miami,-1120
55,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
55,Rental Expense,Cash Payment - Rental - San Francisco,-2240
54,Rental Expense,Cash Payment - Rental - Detroit,-1200
54,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
54,Rental Expense,Cash Payment - Rental - Chicago,-1600
54,Rental Expense,Cash Payment - Rental - New York,-2680
54,Rental Expense,Cash Payment - Rental - Miami,-1120
54,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
54,Rental Expense,Cash Payment - Rental - San Francisco,-2240
53,Rental Expense,Cash Payment - Rental - Detroit,-1200
53,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
53,Rental Expense,Cash Payment - Rental - Chicago,-1600
53,Rental Expense,Cash Payment - Rental - New York,-2680
53,Rental Expense,Cash Payment - Rental - Miami,-1120
53,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
53,Rental Expense,Cash Payment - Rental - San Francisco,-2240
52,Rental Expense,Cash Payment - Rental - Detroit,-1200
52,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
52,Rental Expense,Cash Payment - Rental - Chicago,-1600
52,Rental Expense,Cash Payment - Rental - New York,-2680
52,Rental Expense,Cash Payment - Rental - Miami,-1120
52,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
52,Rental Expense,Cash Payment - Rental - San Francisco,-2240
51,Rental Expense,Cash Payment - Rental - Detroit,-1200
51,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
51,Rental Expense,Cash Payment - Rental - Chicago,-1600
51,Rental Expense,Cash Payment - Rental - New York,-2680
51,Rental Expense,Cash Payment - Rental - Miami,-1120
51,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
51,Rental Expense,Cash Payment - Rental - San Francisco,-2240
50,Rental Expense,Cash Payment - Rental - Detroit,-1200
50,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
50,Rental Expense,Cash Payment - Rental - Chicago,-1600
50,Rental Expense,Cash Payment - Rental - New York,-2680
50,Rental Expense,Cash Payment - Rental - Miami,-1120
50,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
50,Rental Expense,Cash Payment - Rental - San Francisco,-2240
49,Rental Expense,Cash Payment - Rental - Detroit,-1200
49,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
49,Rental Expense,Cash Payment - Rental - Chicago,-1600
49,Rental Expense,Cash Payment - Rental - New York,-2680
49,Rental Expense,Cash Payment - Rental - Miami,-1120
49,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
49,Rental Expense,Cash Payment - Rental - San Francisco,-2240
48,Rental Expense,Cash Payment - Rental - Detroit,-1200
48,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
48,Rental Expense,Cash Payment - Rental - Chicago,-1600
48,Rental Expense,Cash Payment - Rental - New York,-2680
48,Rental Expense,Cash Payment - Rental - Miami,-1120
48,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
48,Rental Expense,Cash Payment - Rental - San Francisco,-2240
47,Rental Expense,Cash Payment - Rental - Detroit,-1200
47,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
47,Rental Expense,Cash Payment - Rental - Chicago,-1600
47,Rental Expense,Cash Payment - Rental - New York,-2680
47,Rental Expense,Cash Payment - Rental - Miami,-1120
47,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
47,Rental Expense,Cash Payment - Rental - San Francisco,-2240
46,Rental Expense,Cash Payment - Rental - Detroit,-1200
46,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
46,Rental Expense,Cash Payment - Rental - Chicago,-1600
46,Rental Expense,Cash Payment - Rental - New York,-2680
46,Rental Expense,Cash Payment - Rental - Miami,-1120
46,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
46,Rental Expense,Cash Payment - Rental - San Francisco,-2240
45,Rental Expense,Cash Payment - Rental - Detroit,-1200
45,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
45,Rental Expense,Cash Payment - Rental - Chicago,-1600
45,Rental Expense,Cash Payment - Rental - New York,-2680
45,Rental Expense,Cash Payment - Rental - Miami,-1120
45,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
45,Rental Expense,Cash Payment - Rental - San Francisco,-2240
44,Rental Expense,Cash Payment - Rental - Detroit,-1200
44,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
44,Rental Expense,Cash Payment - Rental - Chicago,-1600
44,Rental Expense,Cash Payment - Rental - New York,-2680
44,Rental Expense,Cash Payment - Rental - Miami,-1120
44,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
44,Rental Expense,Cash Payment - Rental - San Francisco,-2240
43,Rental Expense,Cash Payment - Rental - Detroit,-1200
43,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
43,Rental Expense,Cash Payment - Rental - Chicago,-1600
43,Rental Expense,Cash Payment - Rental - New York,-2680
43,Rental Expense,Cash Payment - Rental - Miami,-1120
43,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
43,Rental Expense,Cash Payment - Rental - San Francisco,-2240
42,Rental Expense,Cash Payment - Rental - Detroit,-1200
42,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
42,Rental Expense,Cash Payment - Rental - Chicago,-1600
42,Rental Expense,Cash Payment - Rental - New York,-2680
42,Rental Expense,Cash Payment - Rental - Miami,-1120
42,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
42,Rental Expense,Cash Payment - Rental - San Francisco,-2240
41,Rental Expense,Cash Payment - Rental - Detroit,-1200
41,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
41,Rental Expense,Cash Payment - Rental - Chicago,-1600
41,Rental Expense,Cash Payment - Rental - New York,-2680
41,Rental Expense,Cash Payment - Rental - Miami,-1120
41,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
41,Rental Expense,Cash Payment - Rental - San Francisco,-2240
40,Rental Expense,Cash Payment - Rental - Detroit,-1200
40,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
40,Rental Expense,Cash Payment - Rental - Chicago,-1600
40,Rental Expense,Cash Payment - Rental - New York,-2680
40,Rental Expense,Cash Payment - Rental - Miami,-1120
40,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
40,Rental Expense,Cash Payment - Rental - San Francisco,-2240
39,Rental Expense,Cash Payment - Rental - Detroit,-1200
39,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
39,Rental Expense,Cash Payment - Rental - Chicago,-1600
39,Rental Expense,Cash Payment - Rental - New York,-2680
39,Rental Expense,Cash Payment - Rental - Miami,-1120
39,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
39,Rental Expense,Cash Payment - Rental - San Francisco,-2240
38,Rental Expense,Cash Payment - Rental - Detroit,-1200
38,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
38,Rental Expense,Cash Payment - Rental - Chicago,-1600
38,Rental Expense,Cash Payment - Rental - New York,-2680
38,Rental Expense,Cash Payment - Rental - Miami,-1120
38,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
38,Rental Expense,Cash Payment - Rental - San Francisco,-2240
37,Rental Expense,Cash Payment - Rental - Detroit,-1200
37,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
37,Rental Expense,Cash Payment - Rental - Chicago,-1600
37,Rental Expense,Cash Payment - Rental - New York,-2680
37,Rental Expense,Cash Payment - Rental - Miami,-1120
37,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
37,Rental Expense,Cash Payment - Rental - San Francisco,-2240
36,Rental Expense,Cash Payment - Rental - Detroit,-1200
36,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
36,Rental Expense,Cash Payment - Rental - Chicago,-1600
36,Rental Expense,Cash Payment - Rental - New York,-2680
36,Rental Expense,Cash Payment - Rental - Miami,-1120
36,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
36,Rental Expense,Cash Payment - Rental - San Francisco,-2240
35,Rental Expense,Cash Payment - Rental - Detroit,-1200
35,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
35,Rental Expense,Cash Payment - Rental - Chicago,-1600
35,Rental Expense,Cash Payment - Rental - New York,-2680
35,Rental Expense,Cash Payment - Rental - Miami,-1120
35,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
35,Rental Expense,Cash Payment - Rental - San Francisco,-2240
34,Rental Expense,Cash Payment - Rental - Detroit,-1200
34,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
34,Rental Expense,Cash Payment - Rental - Chicago,-1600
34,Rental Expense,Cash Payment - Rental - New York,-2680
34,Rental Expense,Cash Payment - Rental - Miami,-1120
34,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
34,Rental Expense,Cash Payment - Rental - San Francisco,-2240
33,Rental Expense,Cash Payment - Rental - Detroit,-1200
33,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
33,Rental Expense,Cash Payment - Rental - Chicago,-1600
33,Rental Expense,Cash Payment - Rental - New York,-2680
33,Rental Expense,Cash Payment - Rental - Miami,-1120
33,Rental Expense,"Cash Payment - Rental - Washington, D.C.",-2440
33,Rental Expense,Cash Payment - Rental - San Francisco,-2240
32,Rental Expense,Cash Payment - Rental - Detroit,-1200
32,Rental Expense,Cash Payment - Rental - Los Angeles,-1080
32,Rental Expense,Cash Payment - Rental - Chicago,-1600
32,Rental Expense,Cash Payment - Rental - New York,-2680
